metric,Model_A_baseline,Model_B_augmented,delta_(B-A),pct_change
f1_anomaly,0.7934827633819671,0.7887909145468814,-0.004691848835085666,-0.5912981417627974
precision_anomaly,0.9691927141893412,0.9677163570457635,-0.0014763571435776335,-0.1523285433292282
recall_anomaly,0.6717057585911322,0.6657056027429283,-0.006000155848203903,-0.8932714617169454
roc_auc,0.9729833864707342,0.9667450449446977,-0.006238341526036528,-0.6411560169248756
